,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Correct
0,S.Gray o5.5 Ks,Markus_Markets,St Louis Cardinals,S.Gray,Cincinnati Reds,1.0,0.8461538461538461,1,0.8,1,0.9,1,-138,1.0,1.7246376811594204,0.7246376811594204,Y
1,F.Valdez o18.5 Outs,PlayerPropSavant,Houston Astros,F.Valdez,Oakland Athletics,1.0,0.48,0,0.6,1,0.6,1,110,1.0,2.1,1.1,Y
2,Y.Diaz o1.5 hits+runs+rbi,Rotowire,Houston Astros,Y.Diaz,Oakland Athletics,1.0,0.5714285714285714,1,0.6,1,0.6,1,100,0.75,1.5,0.75,Y
3,J.Wilson o0.5 hits+runs+rbi,Rotowire,Oakland Athletics,J.Wilson,Houston Astros,0.0,0.7692307692307693,1,1.0,1,0.7,1,100,0.75,1.5,0.75,Y
4,S.Gray o6.5 strikeouts,Rotowire Prizepicks,St Louis Cardinals,S.Gray,Cincinnati Reds,1.0,0.5,0,0.6,1,0.6,1,100,1.5,3.0,1.5,Y
5,M.Chapman o1.5 hits+runs+rbi,Rotowire Prizepicks,San Francisco Giants,M.Chapman,Milwaukee Brewers,1.0,0.5352112676056338,1,0.8,1,0.9,1,100,1.5,3.0,1.5,N
6,H.Birdsong o5.5 strikeouts,Rotowire Prizepicks,San Francisco Giants,H.Birdsong,Milwaukee Brewers,1.0,0.25,0,0.2,0,0.3,0,100,1.5,3.0,1.5,N
7,Z.Gelof o0.5 total bases,Rotowire Prizepicks,Oakland Athletics,Z.Gelof,Houston Astros,0.0,0.512396694214876,1,1.0,1,0.8,1,100,1.5,3.0,1.5,N
8,F.Valdez o18.5 Outs,PropBetGuy,Houston Astros,F.Valdez,Oakland Athletics,1.0,0.48,0,0.6,1,0.6,1,110,1.0,2.1,1.1,Y
9,J.Polanco o0.5 hits+runs+rbi,Rotowire,Seattle Mariners,J.Polanco,Texas Rangers,1.0,0.6442307692307693,1,0.6,1,0.4,0,100,0.75,1.5,0.75,N
10,G.Williams o1.5 walks allowed,Rotowire,Cleveland Guardians,G.Williams,Tampa Bay Rays,1.0,0.7692307692307693,1,1.0,1,0.8,1,100,0.75,1.5,0.75,Y
11,A.Judge o0.5 HR,charliedisturco,New York Yankees,A.Judge,Boston Red Sox,1.0,0.3194444444444444,0,0.0,0,0.0,0,250,0.1,0.35,0.25,N
12,A.Judge o1.5 Total Bases,charliedisturco,New York Yankees,A.Judge,Boston Red Sox,1.0,0.5069444444444444,1,0.2,0,0.3,0,100,0.5,1.0,0.5,N
13,N.Cortes u2.5 Earned Runs,PlayerPropSavant,New York Yankees,N.Cortes,Boston Red Sox,1.0,0.4285714285714285,0,0.6,1,0.4,0,-131,1.31,2.31,1.0,Y
14,J.Aranda o0.5 hits+runs+rbi,Rotowire,Tampa Bay Rays,J.Aranda,Cleveland Guardians,0.0,0.6428571428571429,1,0.8,1,0.7,1,100,0.75,1.5,0.75,Y
15,J.Burger o1.5 hits+runs+rbi,Rotowire,Miami Marlins,J.Burger,Washington Nationals,0.0,0.4416666666666666,0,0.2,0,0.3,0,100,0.75,1.5,0.75,Y
16,H.Birdsong o2.5 walks allowed,Rotowire Prizepicks,San Francisco Giants,H.Birdsong,Milwaukee Brewers,1.0,0.6666666666666666,1,0.8,1,0.7,1,100,1.5,3.0,1.5,N
17,C.Raleigh o1.5 hits+runs+rbi,Rotowire Prizepicks,Seattle Mariners,C.Raleigh,Texas Rangers,1.0,0.437956204379562,0,1.0,1,0.9,1,100,1.5,3.0,1.5,N
