,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,T.Estrada o0.5 Runs Scored,Thespinzone,135,0.14,0.329,San Francisco Giants,T.Estrada,St. Louis Cardinals,0.0,0.189,Y,0.5,0,0.8,1,0.5,0
1,P.Bailey o0.5 RBI,Thespinzone,188,0.19,0.5472,San Francisco Giants,P.Bailey,St. Louis Cardinals,0.0,0.3572,Y,0.5,0,0.6,1,0.5,0
2,N.Gorman o0.5 RBI,Thespinzone,120,0.11,0.242,St. Louis Cardinals,N.Gorman,San Francisco Giants,1.0,0.132,N,0.38095238095238093,0,0.0,0,0.1,0
3,N.Arenado o0.5 RBI,Thespinzone,135,0.11,0.2585,St. Louis Cardinals,N.Arenado,San Francisco Giants,1.0,0.1485,N,0.3939393939393939,0,0.4,0,0.5,0
4,A.Slater o0.5 RBI,Thespinzone,260,0.1,0.36,San Francisco Giants,A.Slater,St. Louis Cardinals,0.0,0.26,N,0.2631578947368421,0,0.2,0,0.2,0
5,C.Schmitt o0.5 RBI,Thespinzone,210,0.1,0.31,San Francisco Giants,C.Schmitt,St. Louis Cardinals,0.0,0.21,N,0.40625,0,0.2,0,0.2,0
6,P.Goldschmidt o1.5 Total Bases,charliedisturco,100,0.5,1.0,St. Louis Cardinals,P.Goldschmidt,San Francisco Giants,1.0,0.5,N,0.43283582089552236,0,0.8,1,0.4,0
7,P.Goldschmidt o0.5 HR,charliedisturco,400,0.1,0.5,St. Louis Cardinals,P.Goldschmidt,San Francisco Giants,1.0,0.4,N,0.08955223880597014,0,0.2,0,0.1,0
8,P.Goldschmidt o1.5 Total Bases,PropBetGuy,105,1.0,2.05,St. Louis Cardinals,P.Goldschmidt,San Francisco Giants,1.0,1.0499999999999998,N,0.43283582089552236,0,0.8,1,0.4,0
9,J.Verlander u6.5 Ks,SBK5065,-118,0.5,0.923728813559322,New York Mets,J.Verlander,New York Yankees,1.0,0.423728813559322,Y,0.75,1,0.8,1,0.75,1
10,J.Verlander u6.5 Ks,The_Oddsmaker,-118,1.5,2.7711864406779663,New York Mets,J.Verlander,New York Yankees,1.0,1.2711864406779665,Y,0.75,1,0.8,1,0.75,1
11,F.Alvarez o0.5 RBI,Thespinzone,215,0.08,0.252,New York Mets,F.Alvarez,New York Yankees,1.0,0.172,N,0.2826086956521739,0,0.4,0,0.4,0
12,F.Alvarez o0.5 HR,Thespinzone,600,0.04,0.28,New York Mets,F.Alvarez,New York Yankees,1.0,0.24,N,0.17391304347826086,0,0.0,0,0.2,0
13,S.Perez o0.5 RBI,Thespinzone,135,0.1,0.235,Kansas City Royals,S.Perez,Cincinnati Reds,1.0,0.135,N,0.4032258064516129,0,0.4,0,0.3,0
14,D.Lynch o4.5 Ks,The_Oddsmaker,-140,1.4,2.4,Kansas City Royals,D.Lynch,Cincinnati Reds,1.0,1.0,N,0.5,0,0.5,0,0.5,0
15,B.Lively o4.5 Ks,jimsannes,-105,1.0,1.9523809523809523,Cincinnati Reds,B.Lively,Kansas City Royals,0.0,0.9523809523809524,N,0.625,1,0.8,1,0.625,1
16,S.Garrett o0.5 RBI,Thespinzone,225,0.08,0.26,Washington Nationals,S.Garrett,Houston Astros,0.0,0.18,N,0.18421052631578946,0,0.2,0,0.3,0
17,L.Thomas o0.5 Runs Scored,Thespinzone,130,0.11,0.253,Washington Nationals,L.Thomas,Houston Astros,0.0,0.143,N,0.53125,1,0.6,1,0.6,1
18,A.Bregman o1.5 Total Bases,NicholaskMartin,145,0.5,1.225,Houston Astros,A.Bregman,Washington Nationals,1.0,0.7250000000000001,N,0.3283582089552239,0,0.4,0,0.5,0
19,R.Refsnyder o0.5 RBI,Thespinzone,175,0.18,0.495,Boston Red Sox,R.Refsnyder,Colorado Rockies,1.0,0.315,Y,0.34146341463414637,0,0.6,1,0.3,0
20,N.Jones o0.5 RBI,Thespinzone,185,0.1,0.285,Colorado Rockies,N.Jones,Boston Red Sox,0.0,0.185,N,0.5,0,0.4,0,0.5,0
21,J.Turner o1.5 Total Bases,GreenDotDaily,-120,1.0,1.8333333333333333,Boston Red Sox,J.Turner,Colorado Rockies,1.0,0.8333333333333335,N,0.4090909090909091,0,0.8,1,0.7,1
22,J.Turner o1.5 Total Bases,charliedisturco,-110,0.55,1.05,Boston Red Sox,J.Turner,Colorado Rockies,1.0,0.5,N,0.4090909090909091,0,0.8,1,0.7,1
23,J.Turner o0.5 HR,charliedisturco,560,0.1,0.66,Boston Red Sox,J.Turner,Colorado Rockies,1.0,0.56,N,0.10606060606060606,0,0.0,0,0.1,0
24,K.Kiermaier o0.5 Runs Scored,Thespinzone,160,0.16,0.416,Toronto Blue Jays,K.Kiermaier,Baltimore Orioles,0.0,0.256,Y,0.42857142857142855,0,0.4,0,0.4,0
25,K.Bradish o4.5 Ks,jimsannes,106,1.0,2.06,Baltimore Orioles,K.Bradish,Toronto Blue Jays,1.0,1.06,N,0.5,0,0.4,0,0.5,0
26,S.Strider o9.5 Ks,charliedisturco,118,0.5,1.09,Atlanta Braves,S.Strider,Detroit Tigers,0.0,0.5899999999999999,N,0.2857142857142857,0,0.2,0,0.4,0
27,J.Heim o0.5 RBI,Thespinzone,155,0.1,0.255,Texas Rangers,J.Heim,Los Angeles Angels,1.0,0.155,N,0.43103448275862066,0,0.0,0,0.2,0
28,M.Garver o0.5 Runs Scored,Thespinzone,115,0.13,0.2794999999999999,Texas Rangers,M.Garver,Los Angeles Angels,1.0,0.1494999999999999,Y,0.5,0,0.4,0,0.5,0
29,C.Seager o0.5 RBI,Thespinzone,135,0.15,0.3525,Texas Rangers,C.Seager,Los Angeles Angels,1.0,0.2024999999999999,Y,0.5277777777777778,1,0.8,1,0.5,0
30,R.Detmers o5.5 Ks,The_Oddsmaker,-124,1.0,1.806451612903225,Los Angeles Angels,R.Detmers,Texas Rangers,0.0,0.8064516129032258,Y,0.6666666666666666,1,0.6,1,0.7,1
31,C.Kershaw o1.5 Earned Runs,NicholaskMartin,-130,0.38,0.6723076923076923,Los Angeles Dodgers,C.Kershaw,Chicago White Sox,1.0,0.2923076923076922,Y,0.5714285714285714,1,0.8,1,0.6,1
32,F.Freeman o1.5 Total Bases,charliedisturco,100,0.5,1.0,Los Angeles Dodgers,F.Freeman,Chicago White Sox,1.0,0.5,N,0.4852941176470588,0,0.4,0,0.4,0
33,F.Freeman o0.5 HR,charliedisturco,425,0.1,0.525,Los Angeles Dodgers,F.Freeman,Chicago White Sox,1.0,0.425,N,0.1323529411764706,0,0.4,0,0.2,0
34,C.Walker o1.5 Total Bases,NicholaskMartin,115,1.15,2.4725,Arizona Diamondbacks,C.Walker,Philadelphia Phillies,1.0,1.3224999999999998,Y,0.390625,0,0.6,1,0.6,1
35,C.Walker o1.5 Total Bases,charliedisturco,125,0.63,1.4175,Arizona Diamondbacks,C.Walker,Philadelphia Phillies,1.0,0.7875,Y,0.390625,0,0.6,1,0.6,1
