,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,J.Martinez o0.5 HR,NicholaskMartin,360,0.3,1.38,Los Angeles Dodgers,J.Martinez,Cincinnati Reds,0.0,1.0799999999999998,N,0.23404255319148937,0,0.2,0,0.5,0
1,S.Steer o0.5 RBI,Thespinzone,225,0.1,0.325,Cincinnati Reds,S.Steer,Los Angeles Dodgers,1.0,0.225,N,0.4,0,0.4,0,0.5,0
2,K.Newman o0.5 RBI,Thespinzone,300,0.1,0.4,Cincinnati Reds,K.Newman,Los Angeles Dodgers,1.0,0.3,N,0.2553191489361702,0,0.0,0,0.2,0
3,C.Kershaw o1.5 Earned Runs,NicholaskMartin,-140,1.0,1.7142857142857144,Los Angeles Dodgers,C.Kershaw,Cincinnati Reds,0.0,0.7142857142857144,N,0.5384615384615384,1,0.8,1,0.5,0
4,J.Martinez o0.5 RBI,Thespinzone,107,0.15,0.3105,Los Angeles Dodgers,J.Martinez,Cincinnati Reds,0.0,0.1605,N,0.5106382978723404,1,0.4,0,0.6,1
5,J.Martinez o0.5 HR,Thespinzone,370,0.08,0.376,Los Angeles Dodgers,J.Martinez,Cincinnati Reds,0.0,0.296,N,0.23404255319148937,0,0.2,0,0.5,0
6,S.Suzuki o1.5 Total Bases,NicholaskMartin,150,0.75,1.875,Chicago Cubs,S.Suzuki,Los Angeles Angels,0.0,1.125,Y,0.42857142857142855,0,0.2,0,0.3,0
7,S.Suzuki o0.5 RBI,NicholaskMartin,205,0.5,1.525,Chicago Cubs,S.Suzuki,Los Angeles Angels,0.0,1.025,N,0.30612244897959184,0,0.0,0,0.0,0
8,Y.Gomes o1.5 RBI,charliedisturco,650,0.1,0.75,Chicago Cubs,Y.Gomes,Los Angeles Angels,0.0,0.65,N,0.08108108108108109,0,0.0,0,0.0,0
9,Y.Gomes o1.5 Total Bases,charliedisturco,130,0.5,1.15,Chicago Cubs,Y.Gomes,Los Angeles Angels,0.0,0.6499999999999999,N,0.2972972972972973,0,0.4,0,0.2,0
10,Y.Gomes o0.5 HR,charliedisturco,560,0.1,0.66,Chicago Cubs,Y.Gomes,Los Angeles Angels,0.0,0.56,N,0.13513513513513514,0,0.0,0,0.0,0
11,O.Miller o0.5 Runs Scored,Thespinzone,155,0.1,0.255,Milwaukee Brewers,O.Miller,Baltimore Orioles,1.0,0.155,N,0.3541666666666667,0,0.4,0,0.3,0
12,A.Frazier o0.5 Runs Scored,Thespinzone,105,0.15,0.3074999999999999,Baltimore Orioles,A.Frazier,Milwaukee Brewers,0.0,0.1574999999999999,N,0.3442622950819672,0,0.0,0,0.1,0
13,G.Stanton o0.5 RBI,Thespinzone,165,0.1,0.265,New York Yankees,G.Stanton,Chicago White Sox,1.0,0.165,N,0.5294117647058824,1,0.4,0,0.5,0
14,L.Lynn u6.5 Ks,PropBetGuy,-108,1.0,1.925925925925926,Chicago White Sox,L.Lynn,New York Yankees,0.0,0.925925925925926,Y,0.6153846153846154,1,0.8,1,0.6,1
15,W.Castro o0.5 Runs Scored,Thespinzone,120,0.15,0.33,Minnesota Twins,W.Castro,Tampa Bay Rays,0.0,0.18,N,0.32,0,0.2,0,0.4,0
16,W.Franco o0.5 Runs Scored,Thespinzone,115,0.17,0.3655,Tampa Bay Rays,W.Franco,Minnesota Twins,1.0,0.1954999999999999,Y,0.48333333333333334,0,0.6,1,0.6,1
17,J.Lowe o0.5 RBI,Thespinzone,210,0.1,0.31,Tampa Bay Rays,J.Lowe,Minnesota Twins,1.0,0.21,N,0.4528301886792453,0,0.4,0,0.3,0
18,B.Doyle o1.5 Total Bases,Thespinzone,120,0.1,0.22,Colorado Rockies,B.Doyle,San Francisco Giants,1.0,0.12,N,0.2,0,0.0,0,0.1,0
19,J.Davis o0.5 RBI,Thespinzone,105,0.1,0.205,San Francisco Giants,J.Davis,Colorado Rockies,0.0,0.1049999999999999,N,0.3103448275862069,0,0.4,0,0.3,0
20,J.Bell o0.5 HR,charliedisturco,630,0.1,0.73,Cleveland Guardians,J.Bell,Boston Red Sox,1.0,0.63,N,0.07142857142857142,0,0.2,0,0.1,0
21,J.Bell o1.5 Total Bases,charliedisturco,120,0.6,1.32,Cleveland Guardians,J.Bell,Boston Red Sox,1.0,0.7200000000000001,Y,0.2857142857142857,0,0.6,1,0.4,0
22,Z.Wheeler o8.5 Ks,OldManWhoBets,120,1.0,2.2,Philadelphia Phillies,Z.Wheeler,Detroit Tigers,1.0,1.2000000000000002,N,0.15384615384615385,0,0.2,0,0.2,0
23,D.Swanson o0.5 hits,Teddy Ricketson,-190,1.0,1.526315789473684,Chicago Cubs,D.Swanson,Los Angeles Angels,0.0,,N,0.5901639344262295,1,0.4,0,0.6,1
24,M.Chapman u1.5 total bases,Teddy Ricketson,-180,1.0,1.5555555555555556,Toronto Blue Jays,M.Chapman,Houston Astros,1.0,,Y,0.6451612903225806,1,1.0,1,0.8,1
