,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,T.Pham o0.5 RBI,Thespinzone,150,0.1,0.25,0.15,T.Pham,Arizona Diamondbacks,Cincinnati Reds,1.0,0.7368421052631579,1,0.6,1,0.8,1
1,A.Duvall o0.5 RBI,Thespinzone,145,0.15,0.3675,0.2175,A.Duvall,Boston Red Sox,Houston Astros,0.0,0.359375,0,0.6,1,0.3,0
2,A.Bregman o0.5 RBI,Thespinzone,185,0.19,0.5415,0.3515,A.Bregman,Houston Astros,Boston Red Sox,1.0,0.4330708661417323,0,0.6,1,0.7,1
3,K.Tucker o0.5 RBI,Thespinzone,135,0.1,0.235,0.135,K.Tucker,Houston Astros,Boston Red Sox,1.0,0.4596774193548387,0,0.6,1,0.8,1
4,R.Devers o0.5 RBI,Thespinzone,180,0.18,0.504,0.324,R.Devers,Boston Red Sox,Houston Astros,0.0,0.4214876033057851,0,0.4,0,0.4,0
5,J.Lowe o0.5 RBI,Thespinzone,140,0.14,0.336,0.196,J.Lowe,Tampa Bay Rays,Colorado Rockies,1.0,0.3867924528301887,0,0.6,1,0.4,0
