Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
T.Anderson u18.5 Outs,SBK5065,-180,1.25,T.Anderson,1.9444444444444444,0.6944444444444444,Los Angeles Angels,Toronto Blue Jays,0.0,0.56,1,0.8,1,0.8,1
D.Herz u15.5 Outs,SBK5065,-139,1.0,D.Herz,1.7194244604316546,0.7194244604316546,Washington Nationals,Atlanta Braves,0.0,0.7142857142857143,1,0.6,1,0.7,1
Y.Kikuchi u16.5 Outs,PropBetGuy,-120,1.2,Y.Kikuchi,2.2,1.0000000000000002,Houston Astros,Baltimore Orioles,0.0,0.25,0,0.25,0,0.25,0
C.Bradford u17.5 Outs,PlayerPropSavant,-110,1.1,C.Bradford,2.1,1.0,Texas Rangers,Cleveland Guardians,0.0,0.4285714285714285,0,0.4,0,0.4285714285714285,0
F.Lindor o1.5 Total Bases,moneybadger24_,-105,1.05,F.Lindor,2.05,0.9999999999999998,New York Mets,San Diego Padres,0.0,0.4615384615384615,0,1.0,1,0.7,1
M.Haniger o0.5 total bases,Rotowire Prizepicks,100,1.5,M.Haniger,3.0,1.5,Seattle Mariners,San Francisco Giants,1.0,0.5660377358490566,1,0.6,1,0.6,1
J.Soto o1.5 Total Bases,MJCLocks,115,0.85,J.Soto,1.8275,0.9775,New York Yankees,Colorado Rockies,1.0,0.4285714285714285,0,0.4,0,0.4,0
D.Varsho o0.5 Total Bases,moneybadger24_,-170,1.7,D.Varsho,2.7,1.0000000000000002,Toronto Blue Jays,Los Angeles Angels,1.0,0.5982905982905983,1,1.0,1,0.9,1
B.Woo u1.5 Earned Runs,PlayerPropSavant,-102,1.02,B.Woo,2.02,1.0,Seattle Mariners,San Francisco Giants,1.0,0.6,1,0.6,1,0.5,0
N.Martinez u1.5 BB,SBK5065,-165,1.0,N.Martinez,1.606060606060606,0.606060606060606,Cincinnati Reds,Pittsburgh Pirates,0.0,0.8888888888888888,1,0.8,1,0.8888888888888888,1
T.Houck o1.5 BB,PropBetGuy,-130,1.3,T.Houck,2.3,0.9999999999999998,Boston Red Sox,Arizona Diamondbacks,1.0,0.52,1,0.8,1,0.7,1
Z.Matthews u1.5 BB,SBK5065,-140,1.4,Z.Matthews,2.4,1.0,Minnesota Twins,St Louis Cardinals,1.0,0.5,0,0.5,0,0.5,0
Y.Kikuchi o5.5 strikeouts,Rotowire,100,0.75,Y.Kikuchi,1.5,0.75,Houston Astros,Baltimore Orioles,0.0,0.75,1,0.75,1,0.75,1
N.Martinez o3.5 Ks,PropBetGuy,-130,1.3,N.Martinez,2.3,0.9999999999999998,Cincinnati Reds,Pittsburgh Pirates,0.0,0.4444444444444444,0,0.6,1,0.4444444444444444,0
