Unnamed: 0,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,J.Luzardo o4.5 Hits Allowed,PropBetGuy,-125,1.25,2.25,1.0,J.Luzardo,Miami Marlins,Tampa Bay Rays,1.0,,,,,,
0,B.Woodruff u7.5 Ks,PropBetGuy,-125,1.25,2.25,1.0,B.Woodruff,Milwaukee Brewers,Chicago Cubs,0.0,,,,,,
0,D.Schneider o0.5 HR,Thespinzone,500,0.15,0.8999999999999999,0.7499999999999999,D.Schneider,Toronto Blue Jays,Washington Nationals,1.0,0.6,1,0.8,1,0.6,1
0,R.Arozarena o0.5 Runs Scored,Thespinzone,117,0.15,0.3254999999999999,0.1754999999999999,R.Arozarena,Tampa Bay Rays,Miami Marlins,0.0,0.4881889763779528,0,0.8,1,0.9,1
0,P.Meadows o0.5 RBI,Thespinzone,285,0.15,0.5775,0.4275,P.Meadows,Detroit Tigers,New York Yankees,1.0,0.375,0,0.6,1,0.375,0
1,W.Contreras o0.5 RBI,NicholaskMartin,150,0.5,1.25,0.75,W.Contreras,Milwaukee Brewers,Chicago Cubs,0.0,0.3539823008849557,0,0.8,1,0.6,1
2,W.Contreras o0.5 RBI,Thespinzone,135,0.15,0.3525,0.2024999999999999,W.Contreras,Milwaukee Brewers,Chicago Cubs,0.0,0.3539823008849557,0,0.8,1,0.6,1
3,D.Schneider o0.5 RBI,Thespinzone,170,0.15,0.405,0.255,D.Schneider,Toronto Blue Jays,Washington Nationals,1.0,0.7,1,1.0,1,0.7,1
4,R.Lewis o0.5 RBI,Thespinzone,185,0.15,0.4275,0.2774999999999999,R.Lewis,Minnesota Twins,Cleveland Guardians,1.0,0.5111111111111111,1,0.6,1,0.5,0
0,W.Contreras o1.5 Total Bases,NicholaskMartin,100,0.5,1.0,0.5,W.Contreras,Milwaukee Brewers,Chicago Cubs,0.0,0.4336283185840708,0,0.6,1,0.6,1
