,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,J.Davis o0.5 RBI,Thespinzone,265,0.1,0.365,Miami Marlins,J.Davis,San Diego Padres,1.0,0.265,N,0.125,0,0.0,0,0.125,0
1,C.Yelich o0.5 Runs Scored,Thespinzone,135,0.1,0.235,Milwaukee Brewers,C.Yelich,Toronto Blue Jays,0.0,0.1349999999999999,N,0.4716981132075472,0,0.4,0,0.3,0
2,K.Kiermaier o0.5 Runs Scored,Thespinzone,160,0.1,0.26,Toronto Blue Jays,K.Kiermaier,Milwaukee Brewers,1.0,0.16,N,0.4444444444444444,0,0.4,0,0.4,0
3,O.Miller o0.5 Runs Scored,Thespinzone,145,0.1,0.245,Milwaukee Brewers,O.Miller,Toronto Blue Jays,0.0,0.145,N,0.36585365853658536,0,0.4,0,0.4,0
4,W.Merrifield o0.5 Runs Scored,Thespinzone,155,0.1,0.255,Toronto Blue Jays,W.Merrifield,Milwaukee Brewers,1.0,0.155,N,0.48,0,0.6,1,0.5,0
5,B.Harper o0.5 Runs Scored,Thespinzone,100,0.1,0.2,Philadelphia Phillies,B.Harper,New York Mets,0.0,0.1,Y,0.6,1,0.2,0,0.4,0
6,T.Walker o3.5 Ks,Thespinzone,100,0.08,0.16,Philadelphia Phillies,T.Walker,New York Mets,0.0,0.08,N,0.5,0,0.0,0,0.4,0
7,M.Scherzer u6.5 Ks,Thespinzone,-106,0.1,0.1943396226415094,New York Mets,M.Scherzer,Philadelphia Phillies,1.0,0.0943396226415093,N,0.7777777777777778,1,0.6,1,0.7777777777777778,1
8,N.Castellanos o0.5 Runs Scored,Thespinzone,165,0.1,0.265,Philadelphia Phillies,N.Castellanos,New York Mets,0.0,0.165,N,0.5,0,0.2,0,0.3,0
9,T.Bibee o5.5 Ks,PropBetGuy,-122,1.0,1.819672131147541,Cleveland Guardians,T.Bibee,Minnesota Twins,0.0,0.819672131147541,Y,0.5714285714285714,1,0.6,1,0.5714285714285714,1
10,C.Sale o6.5 Ks,NicholaskMartin,-112,1.0,1.8928571428571428,Boston Red Sox,C.Sale,Cincinnati Reds,1.0,0.8928571428571428,N,0.45454545454545453,0,0.6,1,0.5,0
11,T.Bibee o6.5 strikeouts,Chris Landers,160,1.0,2.6,Cleveland Guardians,T.Bibee,Minnesota Twins,0.0,1.6,N,0.42857142857142855,0,0.4,0,0.42857142857142855,0
12,T.Walker u3.5 strikeouts,Chris Landers,-120,1.0,1.8333333333333333,Philadelphia Phillies,T.Walker,New York Mets,0.0,0.8333333333333333,Y,0.5,0,1.0,1,0.6,1
13,T.Bibee o5.5 strikeouts,Dan Servodidio,-110,1.0,1.9090909090909087,Cleveland Guardians,T.Bibee,Minnesota Twins,0.0,0.9090909090909088,Y,0.5714285714285714,1,0.6,1,0.5714285714285714,1
14,M.Trout u1.5 hits+runs+rbi,Dan Servodidio,-110,1.0,1.9090909090909087,Los Angeles Angels,M.Trout,Houston Astros,0.0,0.9090909090909088,Y,0.4444444444444444,0,0.6,1,0.4,0
