,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv
0,C.Carrasco u4.5 strikeouts,Dan Servodidio,-110,1.0,1.9090909090909092,0.9090909090909092,C.Carrasco,New York Mets,San Francisco Giants,1.0
1,G.Ashcraft u4.5 Ks,SBK5065,-158,0.79,1.29,0.5,G.Ashcraft,Cincinnati Reds,San Diego Padres,1.0
2,M.Lorenzen u4.5 Ks,SBK5065,-121,0.61,1.1141322314049589,0.5041322314049587,M.Lorenzen,Detroit Tigers,Colorado Rockies,0.0
3,M.Lorenzen u4.5 Ks,The_Oddsmaker,-130,1.3,2.3,0.9999999999999998,M.Lorenzen,Detroit Tigers,Colorado Rockies,0.0
4,A.Gomber u3.5 Ks,OverUnder985,115,1.0,2.15,1.15,A.Gomber,Colorado Rockies,Detroit Tigers,1.0
5,J.Gray o4.5 Ks,SBK5065,-120,0.6,1.1,0.5000000000000001,J.Gray,Texas Rangers,Houston Astros,1.0
6,J.Gray o4.5 Ks,The_Oddsmaker,-116,1.16,2.1599999999999997,0.9999999999999998,J.Gray,Texas Rangers,Houston Astros,1.0
7,R.Blanco o4.5 Ks,SBK5065,-135,0.68,1.1837037037037037,0.5037037037037037,R.Blanco,Houston Astros,Texas Rangers,0.0
8,R.Blanco o4.5 Ks,The_Oddsmaker,-135,1.35,2.35,1.0,R.Blanco,Houston Astros,Texas Rangers,0.0
9,S.McClanahan u6.5 Ks,jimsannes,106,1.0,2.06,1.06,S.McClanahan,Tampa Bay Rays,Seattle Mariners,0.0
10,B.Miller u5.5 Ks,jimsannes,-142,1.2,2.045070422535211,0.8450704225352113,B.Miller,Seattle Mariners,Tampa Bay Rays,1.0
11,C.Carrasco u4.5 Ks,jimsannes,112,1.0,2.12,1.12,C.Carrasco,New York Mets,San Francisco Giants,1.0
