Unnamed: 0,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
9,C.Blackmon o0.5 Runs Scored,Thespinzone,128,0.1,0.228,0.128,C.Blackmon,Colorado Rockies,Tampa Bay Rays,0,0.5522388059701493,1.0,0.8,1.0,0.9,1.0
16,C.Blackmon o0.5 Runs Scored,Thespinzone,128,0.1,0.228,0.128,C.Blackmon,Colorado Rockies,Tampa Bay Rays,0,,,,,,
5,A.Rutschman o1.5 Total Bases,NicholaskMartin,145,0.75,1.8375,1.0875,A.Rutschman,Baltimore Orioles,Toronto Blue Jays,1,0.3865546218487395,0.0,0.6,1.0,0.3,0.0
2,R.Mountcastle o1.5 total bases,Chris Landers,100,1.0,2.0,1.0,R.Mountcastle,Baltimore Orioles,Toronto Blue Jays,1,,,,,,
9,R.Mountcastle o1.5 Total Bases,NicholaskMartin,105,0.75,1.5375,0.7874999999999999,R.Mountcastle,Baltimore Orioles,Toronto Blue Jays,1,,,,,,
11,A.Rutschman o1.5 Total Bases,NicholaskMartin,145,0.75,1.8375,1.0875,A.Rutschman,Baltimore Orioles,Toronto Blue Jays,1,,,,,,
6,K.Tucker o0.5 RBI,Thespinzone,155,0.1,0.255,0.155,K.Tucker,Houston Astros,Boston Red Sox,1,0.4508196721311475,0.0,0.6,1.0,0.8,1.0
10,R.McMahon o0.5 RBI,Thespinzone,225,0.1,0.325,0.225,R.McMahon,Colorado Rockies,Tampa Bay Rays,0,0.3833333333333333,0.0,0.6,1.0,0.8,1.0
11,Y.Diaz o0.5 RBI,Thespinzone,165,0.1,0.265,0.165,Y.Diaz,Houston Astros,Boston Red Sox,1,0.4444444444444444,0.0,0.8,1.0,0.9,1.0
6,R.Mountcastle o0.5 RBI,Thespinzone,190,0.1,0.29,0.1899999999999999,R.Mountcastle,Baltimore Orioles,Toronto Blue Jays,1,,,,,,
12,K.Tucker o0.5 RBI,Thespinzone,155,0.1,0.255,0.155,K.Tucker,Houston Astros,Boston Red Sox,1,,,,,,
17,R.McMahon o0.5 RBI,Thespinzone,225,0.1,0.325,0.225,R.McMahon,Colorado Rockies,Tampa Bay Rays,0,,,,,,
18,Y.Diaz o0.5 RBI,Thespinzone,165,0.1,0.265,0.165,Y.Diaz,Houston Astros,Boston Red Sox,1,,,,,,
32,J.Polanco o0.5 RBI,Thespinzone,200,0.1,0.3,0.2,J.Polanco,Minnesota Twins,Milwaukee Brewers,0,,,,,,
0,J.Luzardo o2.5 earned runs,Chris Landers,-110,1.0,1.9090909090909092,0.9090909090909092,J.Luzardo,Miami Marlins,San Diego Padres,0,,,,,,
28,P.Alonso o1.5 HR,JoeDellera,5000,0.1,5.1000000000000005,5.000000000000001,P.Alonso,New York Mets,Atlanta Braves,0,,,,,,
29,P.Alonso o0.5 HR,JoeDellera,340,0.25,1.1,0.8500000000000001,P.Alonso,New York Mets,Atlanta Braves,0,,,,,,
13,P.Alonso o0.5 HR,JoeDellera,340,0.25,1.1,0.8500000000000001,P.Alonso,New York Mets,Atlanta Braves,0,0.2222222222222222,0.0,0.6,1.0,0.4,0.0
1,C.Rodon u5.5 strikeouts,Chris Landers,-125,1.0,1.8,0.8,C.Rodon,New York Yankees,Washington Nationals,1,,,,,,
4,J.Verlander u6.5 Strikeouts,Dan Servodidio,-110,1.0,1.9090909090909092,0.9090909090909092,J.Verlander,Houston Astros,Boston Red Sox,1,,,,,,
5,N.Syndergaard u3.5 Ks,AnthonyDabbundo,110,1.0,2.1,1.1,N.Syndergaard,Cleveland Guardians,Los Angeles Dodgers,1,,,,,,
14,J.Verlander u5.5 Ks,jimsannes,124,1.0,2.24,1.2400000000000002,J.Verlander,Houston Astros,Boston Red Sox,1,,,,,,
15,J.Verlander u5.5 Ks,PropBetGuy,120,1.0,2.2,1.2000000000000002,J.Verlander,Houston Astros,Boston Red Sox,1,,,,,,
22,C.Rodon u5.5 Ks,PropBetGuy,100,1.0,2.0,1.0,C.Rodon,New York Yankees,Washington Nationals,1,,,,,,
30,L.Giolito u6.5 Ks,jimsannes,120,1.0,2.2,1.2000000000000002,L.Giolito,Los Angeles Angels,Cincinnati Reds,1,,,,,,
33,B.Woo u5.5 Ks,SBK5065,-120,1.0,1.8333333333333337,0.8333333333333335,B.Woo,Seattle Mariners,Chicago White Sox,0,,,,,,
